Date;Players;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
05-12-2017;599402;4832615,0000;0;0,0000;1;538407,7000;0;31350,3000;1;4543,5000;40;243,2000;141;105,4000;95;79,5000;2035;17,2000;2132;17,1000;5134;15,1000;12385;8,1000;35793;8,7000;76797;5,1000
01-12-2017;789007;6499830,0000;0;0,0000;0;442968,4000;0;61903,4000;2;5406,9000;48;242,8000;110;179,3000;117;69,8000;1710;30,0000;2403;20,1000;6743;13,0000;9364;15,4000;38810;10,8000;115223;4,3000
28-11-2017;534768;4167472,5000;0;0,0000;0;157546,2000;0;36694,3000;2;2291,2000;58;129,3000;199;66,5000;133;50,1000;2389;13,2000;2888;11,7000;5677;11,1000;11726;7,4000;38987;7,0000;78178;4,3000
24-11-2017;753030;6051220,0000;0;0,0000;0;0,0000;1;253061,5000;1;2863,2000;74;188,0000;168;112,6000;142;62,9000;2176;20,2000;3220;15,0000;7277;12,3000;12077;10,9000;49527;8,0000;116587;4,2000
21-11-2017;495802;3699030,0000;0;0,0000;0;215153,1000;1;33407,7000;7;1256,9000;75;95,3000;135;54,5000;151;40,0000;2154;11,2000;2863;10,2000;5391;10,4000;10337;6,6000;35780;6,5000;67943;4,3000
17-11-2017;691484;5396287,5000;0;0,0000;0;0,0000;0;296639,8000;0;7613,9000;56;221,1000;79;170,1000;119;77,0000;1232;29,0000;2191;19,1000;5619;15,0000;7290;14,9000;35653;9,6000;87559;4,8000
14-11-2017;431109;3113395,0000;0;0,0000;0;264446,7000;0;184778,0000;1;6952,3000;30;228,9000;65;145,9000;61;77,7000;1013;24,5000;1326;18,3000;3132;14,9000;5503;12,3000;20600;9,5000;49831;4,9000
10-11-2017;705372;5469295,0000;0;0,0000;0;0,0000;2;180379,3000;4;2515,8000;143;134,5000;201;94,5000;314;43,9000;2801;17,9000;3938;13,8000;8540;11,4000;13346;9,5000;48034;8,0000;105139;4,3000
07-11-2017;431564;3045827,5000;0;0,0000;0;0,0000;1;486971,7000;1;4090,6000;31;215,2000;59;156,1000;84;62,8000;832;28,7000;1598;17,0000;4241;11,5000;4432;15,3000;23840;8,9000;62422;4,0000
03-11-2017;619645;4766422,5000;0;28709464,0000;0;356885,6000;1;17812,0000;15;1670,8000;93;120,1000;277;65,9000;182;44,7000;3348;13,4000;3394;12,3000;7030;10,6000;16494;7,7000;44665;7,3000;91966;4,1000
31-10-2017;438736;3100585,0000;0;0,0000;0;0,0000;0;317035,6000;1;5169,6000;15;266,3000;75;119,3000;48;90,5000;1278;17,4000;1428;17,9000;2847;16,2000;7955;7,7000;23089;8,6000;47662;5,2000
27-10-2017;637651;4873007,5000;0;17000000,0000;0;356433,1000;0;15565,7000;2;3205,7000;99;136,3000;131;116,0000;227;44,7000;1900;21,3000;3358;14,1000;7464;10,9000;9356;11,4000;42268;8,0000;94211;4,2000
24-10-2017;485234;3609857,5000;0;65407072,0000;0;148690,1000;1;18889,9000;0;1882,1000;98;84,8000;76;83,2000;173;32,3000;1326;17,7000;2893;9,4000;6499;8,2000;6509;10,7000;36326;6,4000;81738;3,5000
20-10-2017;705520;5516995,0000;0;0,0000;1;151492,3000;0;18818,2000;4;1643,6000;97;96,5000;244;60,4000;182;40,5000;3264;12,2000;4161;9,9000;8492;9,7000;15859;7,5000;54903;6,3000;112318;3,9000
17-10-2017;465977;3361995,0000;0;0,0000;0;0,0000;1;130419,7000;3;3213,6000;53;131,3000;90;96,8000;97;53,8000;1274;19,1000;2401;10,9000;4299;11,2000;6828;10,9000;34388;6,3000;63761;4,1000
13-10-2017;858408;6541610,0000;0;0,0000;1;737887,0000;1;38191,6000;4;3736,1000;80;200,8000;184;117,3000;169;69,3000;2472;21,4000;3709;15,8000;8414;13,5000;13131;11,2000;51147;8,6000;115098;4,8000
10-10-2017;468162;3375457,5000;0;0,0000;0;841908,4000;0;49022,5000;2;3688,9000;27;219,5000;96;104,9000;72;81,8000;1433;17,5000;1807;16,5000;3496;15,1000;7244;8,6000;26083;8,5000;55287;5,0000
06-10-2017;1339634;12458120,0000;0;190000000,0000;1;1291056,0000;2;27910,6000;12;1865,4000;220;102,7000;525;70,2000;435;44,7000;6258;14,6000;8861;10,6000;17836;10,5000;29336;9,0000;111217;6,8000;232669;4,1000
03-10-2017;1152974;10692150,0000;0;0,0000;0;1504612,3000;2;29859,2000;7;3546,9000;127;180,2000;289;123,2000;307;59,9000;3986;20,8000;5709;15,5000;13111;13,1000;21604;10,4000;81678;8,6000;182877;4,7000
29-09-2017;1253262;11402265,0000;0;0,0000;0;320207,6000;2;26103,0000;19;2059,3000;205;134,2000;647;59,8000;481;55,1000;8942;10,9000;7660;12,5000;16038;12,1000;41460;6,1000;105356;7,0000;216484;4,5000
26-09-2017;812373;7222022,5000;0;0,0000;0;199677,1000;0;53150,9000;0;4332,9000;62;242,6000;114;154,6000;149;80,2000;2243;26,5000;2847;19,7000;7652;15,0000;12126;13,4000;45749;10,0000;115991;4,9000
22-09-2017;1039568;9241737,5000;0;0,0000;0;963345,2000;0;49860,9000;7;3429,6000;103;184,9000;222;122,3000;236;67,2000;3323;19,8000;5014;15,2000;11226;12,8000;18140;10,4000;73182;8,1000;161112;4,5000
19-09-2017;738796;6438910,0000;0;0,0000;2;174307,0000;0;29525,8000;3;3874,6000;95;161,5000;138;113,1000;172;60,7000;2264;20,4000;3563;13,7000;7593;12,7000;12215;11,0000;53434;7,5000;109242;4,5000
